20160907	Red Velvet (레드벨벳)	Fool	female	발라드	88	1월 8일	Josef Melin,Malin Johansson	SM 엔터테인먼트	뭔가 잘 될 것만 같은 걸 눈빛이 통해 대화도 통해 잘 어울려 그래 이건 틀림없어 마치 생일 전 날 밤처럼 떨리는 느낌 연애 세포가 깨어났어 그래서 난 이상해 괜히 뒤척이고 잠이 안 와 왜 이렇게 들뜬 거야 나 왜 또 이러니 혼자 배시시 Fool Fool 왜 또 발걸음이 혼자 춤추니 Fool Fool 나 혼자 시소를 탄 것처럼 신나 해 혼자만의 세상 속에 빠져있네 꿈일 거야 내 두 볼을 꼬집어 아파 Fool 뭔가 잘못될 것 만 같아 아니 이럴 리가 없어 집중이 안 돼 맘대로 안 돼 네 생각에 그런데 또 이상해 네 전화에 또 웃고 있어 너무 깊이 빠졌나 봐 나 왜 또 이러니 혼자 배시시 Fool Fool 나 왜 또 두 볼이 온통 핑크 빛 Fool Fool 나 혼자 시소를 탄 것처럼 신나 해 혼자만의 세상 속에 빠져있네 꿈일 거야 내 두 볼을 꼬집어 아파 Fool 또 좋아하다가 또 망설이다가 바보처럼 반복해 네가 내 맘을 어질러도 웃잖아 나 왜 또 이러니 혼자 배시시 Fool Fool 왜 또 발걸음이 혼자 춤추니 Fool Fool 나 혼자 시소를 탄 것처럼 신나 해 혼자만의 세상 속에 빠져있네 꿈일 거야 내 두 볼을 꼬집어 아파 Fool 근데 너도 왠지 이상해 나를 또 보지 자꾸만 웃지 꼭 나처럼 
20160907	Red Velvet (레드벨벳)	Some Love	female	일렉트로니카	99	KENZIE	KENZIE	SM 엔터테인먼트	넌 쉽게도 말해 헤어지며 See ya See ya 이젠 점점 화가 나 또 이래 Call me Call me Call 아무렇지 않게 어깨 으쓱 얄미워져 나만 네가 아쉽니 혼자 이러는 거니 한번 툭 털고 말해 I don't mind 알잖아 Just let me love ya 너도 솔직해지길 우리 특별해지길 You're the hottest 자 그만 너의 맘 보여 줘 Just Give me Give me Give me Some Love Some Just Give me Give me Give me Some Love More 어떤 사랑을 원해 눈앞에 내가 있잖니 Just Give me Give me Give me Some Love Just a little bit little bit harder Just a little bit little bit harder 나도 첨엔 무심했지 이젠 미안 미안 내가 먼저 변할게 기분이 꽁기꽁기해 우린 왜 이렇게 엇갈리니 속상해져 한 걸음 앞서가면 누가 지는 거니 그런 게 아니잖아 아마도 다칠까 두려운 거야 너도 솔직해지길 우리 특별해지길 You're the hottest 자 그만 너의 맘 보여 줘 Just Give me Give me Give me Some Love Some Just Give me Give me Give me Some Love More 어떤 사랑을 원해 눈앞에 내가 있잖니 Just Give me Give me Give me Some Love 오늘부터야 Boy you g g gotta love me 꼭 껴안자 For the first time 난 네 거라고 크게 마 마 말하고 싶어 서로의 맘을 열자 Just a little bit little bit harder Just a little bit little bit harder Just Give me Give me Give me Some Love Some Just Give me Give me Give me Some Love More 어떤 사랑을 원해 눈앞에 내가 있잖니 Just Give me Give me Give me Some Love Just a little bit little bit harder Just a little bit little bit harder 
20160907	Red Velvet (레드벨벳)	My Dear	female	댄스	84	황현 (MonoTree)	황현 (MonoTree)	SM 엔터테인먼트	My Dear My Love My Best 지금 아주 먼 곳에 있다 해도 우린 이어진 마음으로 오직 사랑하는 사람들만 들리는 둘만의 언어로 말하고 싶어 하늘보다 높이 빛보다 멀리 바람소리보다 빨리 너에게 닿기를 어제보다 더욱 커진 맘을 전부 전해주고 싶어 널 보고 싶어 My Dear My Love My Best 이 순간 느끼는 전부를 모아둘게 My Dear My Love My Best 이 세상 단 한 사람 너를 위해 My Dear My Love My Best 아주 오랜 시간이 지난 후에 우리 흔적도 지워질 때쯤 이곳이 아닌 어딘가에서 만나도 오늘 이 기분은 잃지 않을게 하늘보다 높이 빛보다 멀리 바람소리보다 빨리 너에게 닿기를 어제보다 더욱 커진 맘을 전부 전해주고 싶어 널 보고 싶어 My Dear My Love My Best 이 순간 느끼는 전부를 모아둘게 My Dear My Love My Best 이 세상 단 한 사람 너를 위해 찰나의 느낌이 모여 그려진 너와 나의 추억 한 줄 겹겹이 쌓여 만들어진 우리만의 Space 처음 내게 말했던 너의 꿈 그 크기 그대로 세상에 억눌려 작아지지 않기로 약속해 사랑한단 말보다 너의 맘의 크기만큼 나를 안아줘요 내일이면 더욱 커질 맘을 우리 마주한 그날 보여주고 싶어 My Dear My Love My Best 이 순간 느끼는 전부를 모아둘게 My Dear My Love My Best 이 세상 단 한 사람 너를 위해 높이 빛보다 멀리 바람소리보다 빨리 너에게 닿기를 It’s you My Dear 
20160317	Red Velvet (레드벨벳)	7월 7일 (One Of These Nights)	female	발라드	10	서지음	이승주,홍소진,황찬희,Andreas Oberg,Maria Marcus	SM 엔터테인먼트	그냥 꿈에서 깬 것뿐이야 또 다시 까마득한 저 슬픈 별 하나 잘 가 서툴게 인사하고 뒤돌아서 오는 길은 참 멀기도 하다 같은 시간에 Just for a minute 같은 공간에 Stay for a minute 그 짧았던 순간 모든 게 너와 날 위해 멈춰있던 그 순간 왜 그게 기적인 걸 몰랐을까 오래된 Story와 그 날에 멈춘 나 사랑한 시간보다 더 오래 이별하는 중인걸 은하수 너머에 아득히 먼 곳에 하얀 우리의 기억을 건너는 나 꿈속이라도 괜찮으니까 우리 다시 만나 One Of These Nights 우리 다시 만나 One Of These Nights Oh 난 서둘러 잊지 못해 달력을 넘겨도 난 늘 제자리니까 너의 눈빛에 Just for a minute 스친 손끝에 Stay for a minute 그 짧았던 순간 모든 게 너와 날 위해 멈춰있던 그 순간 난 그 때 반짝이게 된 것 같아 오래된 Story와 그 날에 멈춘 나 사랑한 시간보다 더 오래 이별하는 중인걸 은하수 너머에 아득히 먼 곳에 하얀 우리의 기억을 건너는 나 꿈속이라도 괜찮으니까 Baby One of these days One of these years 기다림은 내겐 사소한 일일 뿐인 걸 오래된 Story와 그 날에 멈춘 나 사랑한 시간보다 더 오래 이별하는 중인걸 은하수 너머에 아득히 먼 곳에 하얀 우리의 기억을 건너는 나 꿈속이라도 괜찮으니까 우리 다시 만나 One Of These Nights 우리 다시 만나 One Of These Nights 
20160317	Red Velvet (레드벨벳)	Cool Hot Sweet Love	female	R&B/Soul	47	KENZIE	Michael Nordmark,Charlotte Taft,Thomas Sardof,Daniel Obi Klein	SM 엔터테인먼트	Cool Hot Sweet Love 너란 트랙 위 나를 얹을게 어떤 멜로디일지 상상을 해봐 단순할수록 더욱 아름다운데 손댈수록 원래의 빛을 잃어가 때론 초승달처럼 차가운 너를 안아 뜨겁게 차르르 녹이면 마침내 달디 단 네 안의 그것 심플하고 아름다운 그 맛 보겠지 그건 Cool Hot Sweet Love 우리만의 Cool Hot Sweet Sweet Love 하얀 날개 펼쳐 구름 위에 선 듯 아찔한 이토록 순수한 Emotion 그저 널 사랑하고 있어 노랗게 달을 채워 나도 따라 커져 마침내 우린 완전하게 돼 차갑고 뜨겁고 달아 우리만의 Cool Hot Sweet Love Co-Cool Ho-Hot Sweet Love Cool Cool Hot Hot Sweet Sweet Love Co-Cool Ho-Hot Sweet Love Cool Cool Hot Hot Sweet Sweet Love 아이스크림 위에 살짝 부어진 커피 순식간에 내 혀를 사로잡았어 사르르 녹으며 날 지배해 올 때 내가 정말 원한 것을 알았어 사랑은 복잡하지 않나 봐 아무 거짓말 없이 전부 다 표현할 때만 달디 단 네 안의 그것 심플하고 아름다운 그 맛 보겠지 그건 Cool Hot Sweet Love 우리만의 Cool Hot Sweet Sweet Love 하얀 날개 펼쳐 구름 위에 선 듯 아찔한 이토록 순수한 Emotion 그저 널 사랑하고 있어 파란색 네 숨결에 핑크빛 체온에 마침내 거절할 수 없게 돼 차갑고 뜨겁고 달아 우리만의 Cool Hot Sweet Love 상상도 못했겠지 내가 모든걸 던져 당신을 선택할 거란 걸 놀라지 마요 지금 시작된 거야 하얀 날개 펼쳐 구름 위에 선 듯 아찔한 이토록 순수한 Emotion 그저 널 사랑하고 있어 파란색 네 숨결에 핑크빛 체온에 마침내 거절할 수 없게 돼 차갑고 뜨겁고 달아 우리만의 Cool Hot Sweet Love We got a Co-Co-Cool Hot Sweet Love We got a Co-Co-Cool Hot Sweet Love We got a Co-Co-Cool Hot Sweet Love 노랗게 달을 채워 나도 따라 커져 마침내 우린 완전하게 돼 차갑고 뜨겁고 달아 우리만의 Cool Hot Sweet Love Co-Cool Ho-Hot Sweet Love Cool Cool Hot Hot Sweet Sweet Love Co-Cool Ho-Hot Sweet Love Cool Cool Hot Hot Sweet Sweet Love 
20160317	Red Velvet (레드벨벳)	Light Me Up	female	R&B/Soul	76	KENZIE	Rodnae `Chikk` Bell,DEEZ,KENZIE	SM 엔터테인먼트	Tonight I wanna light up the world between you and me All I wanna do 눈을 뜬 것 같아 구름이 걷히고 해님이 뜬 거죠 그대가 나를 깨워 작은 내 불을 밝혀 환하게 했어요 So 한 걸음 내디뎌 볼게 가까이 더 갈게 그림자는 지워 버릴게 Ooh Ah Come here boy Wanna talk to you 우린 서로를 더 알아야 해요 서로 고백해요 I'm in love Ooh boy Come and Light Me Up 캄캄한 세상을 밝혀줘 Light me Light me 자 손을 잡아 줘 Ooh boy 커질수록 더 환히 빛난 사랑의 빛이죠 영원하길 원해 빛은 커져가 새벽처럼 와 어두웠던 밤 한 순간 사라지니 Oh 난 뭐가 두려울까요 원하고 가졌죠 이 순간을 Light Me Up 난 보았죠 눈 앞에 쏟아지는 빛을 사랑에 빠진 눈에 우리가 비쳐요 너무 아름답죠 So 한 걸음 내디뎌 볼게 가까이 더 갈게 그림자는 지워 버릴게 Ooh Ah Come here boy Wanna talk to you 우린 서로를 더 알아야 해요 서로 고백해요 I'm in love I'm in love 매일 더 많은 얘길 듣고 싶어요 서로 나누는 거에요 또 나의 얘기도 Ooh boy Come and Light Me Up 캄캄한 세상을 밝혀줘 Light me Light me 자 손을 잡아 줘 Ooh boy 커질수록 더 환히 빛난 사랑의 빛이죠 영원하길 원해 빛은 커져가 새벽처럼 와 어두웠던 밤 한 순간 사라지니 Oh 난 뭐가 두려울까요 원하고 가졌죠 이 순간을 Light Me Up 날 외롭게 눈물도 흘리게 말아요 이 불빛에 내 전부를 태워버린걸요 You make me so crazy 난 조금 어지러워져 꼭 안아요 Ooh boy Come and Light Me Up 캄캄한 세상을 밝혀줘 Light me Light me 자 손을 잡아 줘 Ooh boy 커질수록 더 환히 빛난 사랑의 빛이죠 영원하길 원해 빛은 커져가 새벽처럼 와 어두웠던 밤 한 순간 사라지니 Oh 난 뭐가 두려울까요 원하고 가졌죠 이 순간을 Light Me Up 영원히 켜 둘게요 Light Me Up 
20160317	Red Velvet (레드벨벳)	처음인가요 (First Time)	female	발라드	68	KENZIE	KENZIE	SM 엔터테인먼트	정말 몰라 이렇게 설레 까만 밤을 하얗게 지샌 적은 첨이죠 손잡고 걸어요 Under the starry sky 아무리 봐도 부족해 아침 눈 뜰 때 내 생각하나요 좋은 걸 보면 나를 떠올리나요 나처럼 문득 혼자 웃나요 말해줘요 처음인가요 나만큼요 빠진 거 맞죠 다 알고 싶어요 내 맘이 그대보다 깊은 건 아닌지 바보처럼요 매일 배워요 조금씩 서로를 알게 되고 기쁨들이 늘었죠 Oh 사랑인가요 눈 보고 말할 때 난 너무 솔직해져요 아이가 돼 버리죠 예뻐져요 매일이 새로워 한 번도 이런 적은 없었던걸요 그대의 매일도 이런가요 말해줘요 처음인가요 나만큼요 빠진 거 맞죠 다 알고 싶어요 내 맘이 그대보다 깊은 건 아닌지 바보처럼요 우린 결국 하나죠 Somehow in someway 처음이길 또 끝이기를 원해 완전할 순 없죠 반쪽처럼요 서로를 채워요 가득히 말해줘요 처음인가요 나만큼요 빠진 거 맞죠 다 알고 싶어요 내 맘이 그대보다 깊은 건 아닌지 바보처럼요 Today I realized how much I really love you for the First Time 
20160317	Red Velvet (레드벨벳)	장미꽃 향기는 바람에 날리고 (Rose Scent Breeze)	female	발라드	59	정혜경	정수민,박근철,홍종화	SM 엔터테인먼트	더 이상 아무 말도 못하고 눈을 감고 있지만 눈을 떠 바라보며 울기엔 너무 진한 아픔이라고 지난날 그 약속 이제는 추억이라 말하며 그렇게 싸늘한 미소로 내 곁을 멀어져 갈 때 장미꽃 향기는 바람에 날리고 서러운 한숨도 허공에 흩어져 잡을 수 없네 그대의 멀어지는 모습 그대로 더 이상 잡을 수 없네 지난날 그 약속 이제는 추억이라 말하며 그렇게 싸늘한 미소로 내 곁을 멀어져 갈 때 장미꽃 향기는 바람에 날리고 서러운 한숨도 허공에 흩어져 잡을 수 없네 그대의 멀어지는 모습 그대로 더 이상 잡을 수 없네 텅 빈 나의 맘속은 그대만을 원하죠 장미꽃 향기는 바람에 날리고 서러운 한숨도 허공에 흩어져 잡을 수 없네 그대의 멀어지는 모습 그대로 더 이상 잡을 수 없네 더 이상 잡을 수 없네 
20151218	Red Velvet (레드벨벳)	세가지 소원 (Wish Tree)	female	발라드	32	1월 8일	Aaron Benward,Matthew Tishler,명랑한 운동부,황찬희,Felicia Barton	SM 엔터테인먼트	차가운 유리 창 너머 반짝인 불빛 시린 거리는 첫눈을 기다려 조금씩 또 조금씩 번져가는 기쁨 속에 울던 아이도 잠이 드는 밤 얼어붙은 저 나뭇가지 위로 한 송이 또 한 송이 내려 앉는 눈 꽃송이 그 아래 우리 둘 두 손 가만히 꼭 잡고 소원을 빌어봐요 첫 번째 소원 너와 나 오늘처럼 행복하길 두 번째 소원은 몇 번의 겨울 지나도 꼭 함께 이길 또 세 번째 소원은 지금 바란 모든 게 다 이뤄 지기를 산타를 만나기 위해 줄을 선 아이 반짝이는 눈빛 해맑은 미소 어리던 그 날엔 나도 그땐 그랬었지 향긋한 Gingerbread Christmas Tree 위에 작은 꽃눈이 뿜어내는 향기 그 안에 수줍게 꿈꾸는 봄 한 송이 그 아래 우리 둘 두 손 가만히 꼭 잡고 소원을 빌어봐요 내 첫 번째 소원 너와 나 오늘처럼 행복하길 두 번째 소원은 몇 번의 겨울 지나도 꼭 함께 이길 또 세 번째 소원은 지금 바란 모든 게 다 이뤄 지기를 천사가 내려와 내게 입맞춘 것 같아 눈꽃이 피어나요 Yeah 첫 번째 소원 너와 나 오늘처럼 행복하길 두 번째 소원은 몇 번의 겨울 지나도 꼭 함께 이길 또 세 번째 소원은 지금 바란 모든 게 다 이뤄 지기를 
20150909	Red Velvet (레드벨벳)	Dumb Dumb	female	댄스	2	서지음,김동현	Ryan S. Jhun,Taylor Parks,Deanna Dellacioppa,LDN Noise	SM 엔터테인먼트	Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb 너 땜에 하루 종일 고민하지만 널 어떡해야 좋을지 잘 모르겠어 난 Oh Baby baby baby baby baby you Play me play me play me play me play me 그 눈빛은 날 아찔하고 헷갈리게 해 내 이성적인 감각들을 흩어지게 해 Oh Baby baby baby baby baby you Crazy crazy crazy crazy crazy 마네킹 인형처럼 하나부터 열까지 다 어색하지 평소같이 하면 되는데 또 너만 보면 시작되는 바보 같은 춤 눈 코 입 표정도 팔 다리 걸음도 내 말을 듣지 않죠 Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb 심장의 떨림도 날뛰는 기분도 맘대로 되질 않죠 Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb 낭만적인 영화를 난 꿈꿔왔지만 네 사랑은 내 손에 늘 땀을 쥐게 해 Oh Baby baby baby baby baby You make me crazy crazy crazy crazy hey 마네킹 인형처럼 하나부터 열까지 다 어색하지 평소같이 하면 되는데 또 너만 보면 시작되는 바보 같은 춤 Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb You need to Beat It That boy Michael Jackson Bad 난 너의 Billie Jean이 아냐 Don't you Leave Me Alone 하지만 애매한 반응 난 원해 Black Or White 포기 못해 나의 Man In The Mirror Why You Wanna Trip On Me 넌 너무 짓궂지 Boy you make me Scream 너에게 왜 이러지 하긴 너의 Love 정말 Never Felt So Good 그건 아마 짜릿하다 못해 Watching the Thriller 난 너에게서 헤어날 수 없나 봐 미워도 싫지가 않잖아 저 언니처럼 되고 싶은데 넌 자꾸 나를 귀엽다고 하는 걸까 왜 남동생 로봇처럼 하나부터 열까지 다 어색하지 어떡하지 고장 났나 봐 숨을 쉬는 방법도 다 까먹었어 나 눈 코 입 표정도 팔 다리 걸음도 내 말을 듣지 않죠 Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb 심장의 떨림도 날뛰는 기분도 맘대로 되질 않죠 Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb Dumb 
20150909	Red Velvet (레드벨벳)	Huff n Puff	female	댄스	36	KENZIE	Anne Preven,Alex G,Will Gray,Jaden Michaels	SM 엔터테인먼트	Knock knock 거기 누구 없나요 Knock knock 여긴 어디인가요 어느 햇살 좋은 오후 나른히 넘긴 책장 속 예쁘고 이상한 그림 문득 손이 멈춰졌어요 날 보고 살랑살랑 빨리 오라오라 손짓해 나도 모르게 점점 빨려 들어가게 됐어요 이상한 나라의 입구는 험했죠 숨을 헐떡이며 저는 도착했죠 빙글빙글 꽃들 춤추는 우당탕탕 토끼들 싸우는 Huff n Puff 숨이 헉헉 뛰어봐도 내가 작아서 폴짝 뛰어 나무를 타고 세상을 둘러봤죠 Huff n Puff 꿈 속 같은 신기루 여전히 멀어서 땀방울을 반짝이며 저는 달렸던 거죠 Knock knock 거기 누구 없나요 Knock knock 여긴 어디인가요 이 그림의 뒷장까지 저는 달려가 보았죠 보라색 하늘과 Na na na 분홍의 시냇물 살금살금 지나요 몬스터 Oh my god 그가 눈을 떠버려 우당탕탕 얼른 도망쳐 도망쳐 왠지 나 알던 곳 같아 친한 친구들이었던 것 같아 Na na na na 어디 숨어있니 Huff n Puff 숨이 헉헉 뛰어봐도 내가 작아서 폴짝 뛰어 나무를 타고 세상을 둘러봤죠 Huff n Puff 꿈 속 같은 신기루 여전히 멀어서 땀방울을 반짝이며 저는 달렸던 거죠 I don’t know why 왜 모두 사라졌어 내 기억들은 그대로인데 I don’t know why 자 놀리지 마요 Na na na na 어디들 숨었니 Hey Huff n Puff 숨이 헉헉 뛰어봐도 내가 작아서 폴짝 뛰어 나무를 타고 세상을 둘러봤죠 Huff n Puff 꿈 속 같은 신기루 여전히 멀어서 땀방울을 반짝이며 저는 달렸던 거죠 Knock knock 거기 누구 없나요 Knock knock 여긴 어디인가요 
20150909	Red Velvet (레드벨벳)	Campfire	female	댄스	66	조윤경	Denzil `DR` Remedios,Ryan S. Jhun,Taylor Parks,LDN Noise	SM 엔터테인먼트	아쉬움 가득한 이런 맘인데 지는 Sunlight 어떡해 좀 더 깊고 솔직한 나를 말해 너에게 다가가고 싶은데 너를 알기 전에 나는 어떤 애였는지 감명 깊게 읽은 책은 뭐였는지 한동안 짜릿한 가슴 뛰게 한 순간들도 다 판도라의 상자일지 모르겠지 웬만해선 듣기 힘든 Talking 알듯 말듯 미소 뒤에 감추어진 맘의 소릴 밤새도록 Talking 밤 하늘 아래 Campfire 그대 어깨에 기대 난 둘 만을 위한 Campfire 불꽃 속에 담은 Night 조금 빨개진 내 볼을 감싼 그대 손이 타닥타닥 나무 향기 타는 소리 내 눈에 비친 Campfire 기억해 줘 오늘 밤 Oh 더 뭐가 필요해 이건 둘만의 진실게임 거짓말은 No oh oh 절대 No oh 쓸데없이 감춰 왜 그대가 제일 좋아하는 계절은 또 뭔지 네 방 안의 보물 1호 어떤 건지 한 번쯤 상상한 머릿속의 난 어땠는지 다 달콤한 네 목소리에 녹아드는 내 마음은 코코아 속 마시멜로 부드러운 춤을 추는 뜨거운 저 모닥불에 전해보는 마음은 For you 밤 하늘 아래 Campfire 그대 어깨에 기대 난 둘 만을 위한 Campfire 불꽃 속에 담은 Night 조금 빨개진 내 볼을 감싼 그대 손이 타닥타닥 나무 향기 타는 소리 내 눈에 비친 Campfire 기억해 줘 오늘 밤 유행하는 영화보다 멋있다는 장소보다 네 얘기를 듣고 싶어 저 하늘의 별빛처럼 더 멀거나 생각보다 가깝거나 내 눈에는 똑같이 다 반짝거릴 뿐인 걸 Yeah let me hear it one time 아무도 듣지 못한 그의 속 맘 밤 하늘 아래 Campfire 그대 어깨에 기대 난 둘 만을 위한 Campfire 불꽃 속에 담은 Night 조금 빨개진 내 볼을 감싼 그대 손이 타닥타닥 나무 향기 타는 소리 내 눈에 비친 Campfire 기억해 줘 오늘 밤 밤 하늘 아래 Campfire 둘 만을 위한 Campfire 조금 빨개진 내 볼을 감싼 그대 손이 타닥타닥 나무 향기 타는 소리 너무 특별한 Campfire 기억해 줘 오늘 밤 밤 하늘 아래 Campfire 
20150909	Red Velvet (레드벨벳)	Red Dress	female	댄스	75	조윤경	Charite Viken,Ryan S. Jhun,Rodnae `Chikk` Bell,Nermin Harambasic,LDN Noise,Jin Suk Choi	SM 엔터테인먼트	Yeah you know how we do Our tune is so high 어린아이 대하 듯 그대는 나를 봐요 웃으며 내려다 보고 쓰담쓰담 해요 자꾸만 왜 모르는 척 해요 화창해 좋은 날 왜 전화했게요 Tell me what you want what you want it 솔직한 그대의 이상형 Show me what you want what you want it 머리 어깨부터 무릎 발 끝까지 Uh Uh uh 알고 싶다면 되고 싶다면 그댄 뭐라 얘기 할까 Get up get up get up get up Get up get up get up get up Get up get up get up get up 날 기대해도 좋아 빨간 루비처럼 자신감이 넘치게 빨간 사과처럼 어딘가 앙큼하게 예감이 좋은 Red Dress Red Dress Red Dress 널 사로잡을 Red Dress Red Dress Red Dress My sweet love 그대를 부를 때 이제 더 이상 절대 망설이지 않을래 어딘가 좀 달라진 내 분위기 어때 위로 아래로 잘록 허리로 나를 봐요 Red Dresses on Get up get up get up get up Get up get up get up get up Get up get up get up get up 더 다가와도 좋아 빨간 루비처럼 자신감이 넘치게 빨간 사과처럼 어딘가 앙큼하게 예감이 좋은 Red Dress Red Dress Red Dress 널 사로잡을 Red Dress Red Dress Red Dress 빨간 구두처럼 절대 멈출 수 없게 빨간 장미처럼 가시는 따끔하게 예감이 좋은 Red Dress Red Dress Red Dress 널 사로잡을 Red Dress Red Dress Red Dress 쉽게 나 하는 얘기가 아니야 아니야 마냥 나 어린 애기가 아니야 아니야 확실한 느낌이 왔어 두근대는 가슴이 사랑스런 웃음이 바로 너라고 외치고 있어 빨간 루비처럼 자신감이 넘치게 빨간 사과처럼 어딘가 앙큼하게 예감이 좋은 Red Dress Red Dress Red Dress 널 사로잡을 Red Dress Red Dress Red Dress 빨간 구두처럼 절대 멈출 수 없게 빨간 장미처럼 가시는 따끔하게 예감이 좋은 Red Dress Red Dress Red Dress 널 사로잡을 Red Dress Red Dress Red Dress 
20150909	Red Velvet (레드벨벳)	Oh Boy	female	댄스	35	구태우	Jin Choi,Lauren Dyson,LDN Noise,Herbie Crichlow	SM 엔터테인먼트	Oh Boy Oh Boy Oh Boy Oh Boy Oh Boy 날 비춘 햇빛 Oh Boy 모두 네 눈빛 Oh Boy 넌 너무 눈이 부셔 Hey Oh Boy 귓가에 살며시 Oh Boy 달콤한 목소리 Oh Boy 잠든 날 깨워준 너 Eh 배운 적 없었던 말로 입을 열고 오직 널 담으려 감은 눈을 뜨고 나조차 정말 몰랐던 날 발견한 걸 Yeah 꿈에 그려온 환상 속 그가 날 찾아와 찾아와 찾아와 또 말없이 다가와 숨 멎는 미소만 넌 내게 깜짝 난 눈만 깜박 입술 닿을 듯 시간이 멈춘 순간 내 안으로 새로운 계절이 불어와 Oh Boy Oh Boy Oh Boy Oh Boy Oh Boy 숨겨진 나를 깨워줄래 Oh Boy 눈부신 네게 눈을 뜰 때 Oh Boy 어제완 다른 세상이 돼 Oh Boy Oh Boy 마치 퍼즐처럼 Oh Boy 한 조각이 없던 Oh Boy 날 완벽히 맞춘 너야 익숙한 세상이 왠지 특별하게 네가 날 불러서 전부 아름답게 놀라운 이런 감정은 난 처음인데 Yeah 꿈에 그려온 환상 속 그가 날 찾아와 찾아와 찾아와 또 말없이 다가와 숨 멎는 미소만 넌 내게 깜짝 난 눈만 깜박 입술 닿을 듯 시간이 멈춘 순간 내 안으로 새로운 계절이 불어와 Oh Boy 숨겨진 나를 깨워줄래 Oh Boy 눈부신 네게 눈을 뜰 때 Oh Boy 어제완 다른 세상이 돼 Oh Boy Oh 운명은 살짝 부족해 이건 기적인 걸 꿈보다 멋진 현실 앞에 Yeah 더 이상 잠들지 못해 처음 깨어난 이 맘을 말로는 표현 못해 나만을 봐줘 나의 그대 작은 속삭임 하나에 긴 꿈을 벗어나 벗어나 벗어나 넌 지긋한 눈빛과 따뜻한 미소만 참 낯선 향기 또 네 목소리 날 바라보는 네 눈을 바라본 나 왜 이름도 몰랐던 꽃으로 피어나 Oh Boy 숨겨진 나를 깨워줄래 Oh Boy 눈부신 네게 눈을 뜰 때 Oh Boy 어제완 다른 세상이 돼 Oh Boy Oh Boy 
